Timestamp,Datetime,Candle,Open,High,Low,Close
1381190400.0,2013-10-07T20:00:00,1d,123.61,123.61,123.61,123.61
1381276800.0,2013-10-08T20:00:00,1d,123.61,124.19,123.9,124.18
1381363200.0,2013-10-09T20:00:00,1d,124.18,124.01687,123.84,123.84
1381449600.0,2013-10-10T20:00:00,1d,123.84,125.86,125.85,125.86
1381622400.0,2013-10-12T20:00:00,1d,125.86,127.5,127.0,127.0
1381708800.0,2013-10-13T20:00:00,1d,127.0,131.8408,131.8408,131.8408
1381795200.0,2013-10-14T20:00:00,1d,131.8408,135.59,133.36726,135.59
1381881600.0,2013-10-15T20:00:00,1d,135.59,153.0,133.87975,133.87975
1381968000.0,2013-10-16T20:00:00,1d,133.87975,146.14,137.63758,138.09
1382054400.0,2013-10-17T20:00:00,1d,138.09,144.73,137.52,143.79522
1382140800.0,2013-10-18T20:00:00,1d,143.79522,153.80147,146.2399,149.04856
1382227200.0,2013-10-19T20:00:00,1d,149.04856,171.25,157.64,165.56
1382313600.0,2013-10-20T20:00:00,1d,165.56,166.52626,162.981,162.981
1382400000.0,2013-10-21T20:00:00,1d,162.981,176.65277,165.0,176.32429
1382486400.0,2013-10-22T20:00:00,1d,176.32429,194.2,150.0,150.0
1382572800.0,2013-10-23T20:00:00,1d,150.0,203.45,185.90287,203.45
1382659200.0,2013-10-24T20:00:00,1d,203.45,207.30246,169.9201,193.0999
1382745600.0,2013-10-25T20:00:00,1d,193.0999,186.8,171.97,186.0499
1382832000.0,2013-10-26T20:00:00,1d,186.0499,185.8,179.8656,184.58
1382918400.0,2013-10-27T20:00:00,1d,184.58,191.3,179.23624,191.0
1383091200.0,2013-10-29T20:00:00,1d,191.0,195.0,195.0,195.0
1383177600.0,2013-10-30T20:00:00,1d,195.0,203.94,195.0,203.77
1383264000.0,2013-10-31T20:00:00,1d,203.77,202.27,199.0,202.1
1383350400.0,2013-11-01T20:00:00,1d,202.1,207.96822,202.9,202.9
1383436800.0,2013-11-02T20:00:00,1d,202.9,204.24,201.04,203.51
1383523200.0,2013-11-03T19:00:00,1d,203.51,209.748,203.47,209.748
1383609600.0,2013-11-04T19:00:00,1d,209.748,229.97,209.4001,226.9001
1383696000.0,2013-11-05T19:00:00,1d,226.9001,250.14053,222.05236,244.95532
1383782400.0,2013-11-06T19:00:00,1d,244.95532,269.42566,245.69019,263.73672
1383868800.0,2013-11-07T19:00:00,1d,263.73672,348.4093,262.8628,289.62884
1383955200.0,2013-11-08T19:00:00,1d,289.62884,330.64785,295.51602,330.64785
1384041600.0,2013-11-09T19:00:00,1d,330.64785,350.0,312.01,338.68
1384128000.0,2013-11-10T19:00:00,1d,338.68,400.0,289.18978,317.0
1384214400.0,2013-11-11T19:00:00,1d,317.0,362.5306,329.72864,340.725
1384300800.0,2013-11-12T19:00:00,1d,340.725,500.0,346.55506,355.0
1384387200.0,2013-11-13T19:00:00,1d,355.0,406.0,365.0,398.0
1384473600.0,2013-11-14T19:00:00,1d,398.0,425.84138,404.8,425.62096
1384560000.0,2013-11-15T19:00:00,1d,425.62096,435.0,387.91236,410.0
1384646400.0,2013-11-16T19:00:00,1d,410.0,444.50734,414.8989,438.0
1384732800.0,2013-11-17T19:00:00,1d,438.0,491.50107,430.0,491.50107
1384819200.0,2013-11-18T19:00:00,1d,491.50107,700.0,496.36498,700.0
1384905600.0,2013-11-19T19:00:00,1d,700.0,800.0,123.61,587.52083
1384992000.0,2013-11-20T19:00:00,1d,587.52083,636.94821,450.0,591.81
1385078400.0,2013-11-21T19:00:00,1d,591.81,720.0,583.11045,670.06042
1385164800.0,2013-11-22T19:00:00,1d,670.06042,810.0,642.70057,796.56582
1385251200.0,2013-11-23T19:00:00,1d,796.56582,904.0765,768.76234,830.75754
1385337600.0,2013-11-24T19:00:00,1d,830.75754,838.97872,760.38,808.33476
1385424000.0,2013-11-25T19:00:00,1d,808.33476,818.36641,730.0,801.59886
1385510400.0,2013-11-26T19:00:00,1d,801.59886,900.0,768.58034,893.87025
1385596800.0,2013-11-27T19:00:00,1d,893.87025,1081.09181,890.0,994.95
1385683200.0,2013-11-28T19:00:00,1d,994.95,1088.41486,935.0806,1000.32893
1385769600.0,2013-11-29T19:00:00,1d,1000.32893,1198.8009,1012.39302,1165.425
1385856000.0,2013-11-30T19:00:00,1d,1165.425,1189.10145,1094.38283,1114.24001
1385942400.0,2013-12-01T19:00:00,1d,1114.24001,1130.0,770.0,953.72943
1386028800.0,2013-12-02T19:00:00,1d,953.72943,1059.0,946.14514,1022.9544
1386115200.0,2013-12-03T19:00:00,1d,1022.9544,1076.52087,995.4975,1063.46318
1386201600.0,2013-12-04T19:00:00,1d,1063.46318,1120.0,981.75885,1079.93122
1386288000.0,2013-12-05T19:00:00,1d,1079.93122,1110.0,855.7,1032.05233
1386374400.0,2013-12-06T19:00:00,1d,1032.05233,1065.22702,838.51515,864.78197
