"Publisher ID","Publisher Name","Keyword ID","Keyword","Match Type","Campaign","Keyword Group","Category","Bid Strategy","Keyword Type","Status","Search Engine Bid","Clicks","Click Charges","Avg. Cost per Click","Impressions","Engine Click Thru %","Avg. Pos.","Trans. Conv. %","Total Cost/ Trans.","Amount","Total Cost","Total Volume of Bookings"
"K1175","Google - Global","43000000019449400","air france airline","Broad","Air France Brand & French Destinations","Air France Brand","uncategorized","Unassigned","Unassigned","Unavailable",5,34,81.437499975,2.3952205875,397,8.56423173803526,1.55138539042821,2.94117647058824,81.437499975,1317.5,81.437499975,1
"K435","Google - US","43000000013068961","air france tickets paris","Broad","Paris & France Terms","Paris Branded","uncategorized","Position 2-5 Bid Strategy","Unassigned","Live",15,20,51.425,2.57125,72,27.7777777777778,1.01375,5,51.425,805.8,51.425,1
"K2615","Yahoo - US","43000000039657941","european airline","Advanced","Western Europe Destinations","Europe","uncategorized","Unassigned","Unassigned","Paused",6.25,19,33.899999975,1.784210525,634,2.99684542586751,1.46326498422713,5.26315789473684,33.899999975,516.8,33.899999975,1
"K1175","Google - Global","43000000019449351","paris tourism","Broad","Air France Brand & French Destinations","Paris","uncategorized","Unassigned","Unassigned","Unavailable",5,14,41.97499985,2.998214275,1667,0.839832033593281,1.18890221955609,7.14285714285714,41.97499985,632.4,41.97499985,1
"K1175","Google - Global","43000000019449260","paris cheap flight","Broad","Air France Brand & French Destinations","Paris","uncategorized","Unassigned","Unassigned","Unavailable",5,162,382.7374983,2.36257715,1255,12.9083665338645,1.86940239043825,1.23456790123457,191.36874915,5664.4,382.7374983,2
"K2615","Yahoo - US","43000000027382585","airfrance us","Advanced","Air France Branded","Air France Website","uncategorized","Unassigned","Unassigned","Live",7.5,136,77.2749994,0.568198525,714,19.047619047619,1.16442577030812,1.47058823529412,38.6374997,1132.2,77.2749994,2
"K435","Google - US","43000000005278792","barcelona flight","Broad","Google_Yearlong 2006","Google|Barcelona","barcelona","Position 1-4 Bid Strategy","Unassigned","Paused",6.25,61,126.7874996,2.0784836,1413,4.3170559094126,1.63021939136589,1.63934426229508,126.7874996,1851.3,126.7874996,1
"K2615","Yahoo - US","43000000039651070","international air fare","Advanced","Geo Targeted DC","International DC","uncategorized","Unassigned","Unassigned","Paused",6.25,11,22.32499995,2.02954545,586,1.87713310580205,3.5887542662116,36.3636363636364,5.5812499875,317.05,22.32499995,4
"K2615","Yahoo - US","43000000029356677","france cheap ticket","Standard","Paris & France Terms","France","uncategorized","Unassigned","Unassigned","Live",6.25,32,43.775,1.36796875,181,17.6795580110497,1,3.125,43.775,606.9,43.775,1
"K2966","MSN - US","43000000031840457","air france","Broad","Air France Brand & French Destinations","Air France Brand","uncategorized","Unassigned","Unassigned","Live",0,5417,8288.462454925,1.530083525,39052,13.8712485916214,1.29508194202602,1.36606978032121,112.006249390878,110667.45,8288.462454925,74
"K2003","MSN - Global","43000000019452514","air france com","Broad","Air France Brand & French Destinations","Air France Website","uncategorized","Position 1-4 Bid Strategy","Unassigned","Deactivated",0,560,305.787496,0.5460491,2022,27.6953511374876,1.04015825914936,1.07142857142857,50.9645826666667,4070.65,305.787496,6
"K2966","MSN - US","43000000031840368","air france com","Broad","Air France Brand & French Destinations","Air France Website","uncategorized","Unassigned","Unassigned","Live",0,390,342.7999965,0.87897435,1337,29.1697830964847,1.4039640987285,1.28205128205128,68.5599993,4459.1,342.7999965,5
"K1175","Google - Global","43000000019449419","flight to paris","Broad","Air France Brand & French Destinations","Air France Website","uncategorized","Unassigned","Unassigned","Unavailable",5,385,902.22499675,2.34344155,4437,8.67703403200361,2.17128690556682,1.81818181818182,128.88928525,11599.95,902.22499675,7
"K1123","Overture - Global","43000000005420864","flight to nice","Advanced","Unassigned","Unassigned","nice","Position 1-2 Target","Unassigned","Paused",1.0125,415,288.474997125,0.695120475,59642,0.695818383018678,1.71361289024513,0.481927710843374,144.2374985625,3675.4,288.474997125,2
